anime,anime_url,episodes,rate,genre_seinen,genre_shonen,genre_shojo,genre_bl,genre_action,genre_adventure,genre_comedy,genre_romance,genre_drama,genre_slice of life,genre_isekai,genre_mystery,genre_fantasy,genre_sci-fi,genre_sports,genre_supernatural,genre_thriller,genre_magical girls,genre_food,genre_harem,genre_historical,genre_mecha,genre_music,genre_post-apocalyptic
Shugo Chara,https://www.crunchyroll.com/shugo-chara,51,4.86,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BLEACH,https://www.crunchyroll.com/bleach,366,4.83,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Naruto,https://www.crunchyroll.com/naruto ,220,4.8,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skip Beat!,https://www.crunchyroll.com/skip-beat ,25,4.91,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gintama,https://www.crunchyroll.com/gintama ,379,4.87,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Exorcist,https://www.crunchyroll.com/blue-exorcist ,12,4.82,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Durarara!!,https://www.crunchyroll.com/durarara ,62,4.85,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Sword Art Online,https://www.crunchyroll.com/sword-art-online ,89,4.4,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Beelzebub,https://www.crunchyroll.com/beelzebub ,60,4.79,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Slam Dunk,https://www.crunchyroll.com/slam-dunk ,101,4.7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hunter x Hunter,https://www.crunchyroll.com/hunter-x-hunter,148,4.85,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Attack on Titan,https://www.crunchyroll.com/attack-on-titan ,60,4.73,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Black Clover,https://www.crunchyroll.com/black-clover ,127,3.84,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Rising of the Shield Hero,https://www.crunchyroll.com/the-rising-of-the-shield-hero ,25,4.72,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Re:ZERO -Starting Life in Another World-,https://www.crunchyroll.com/rezero-starting-life-in-another-world- ,63,4.55,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
One Piece,https://www.crunchyroll.com/one-piece ,1135,4.7,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fate/Zero,https://www.crunchyroll.com/fatezero ,25,4.79,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
JoJo's Bizarre Adventure,https://www.crunchyroll.com/jojos-bizarre-adventure ,158,4.87,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Hero Academia,https://www.crunchyroll.com/my-hero-academia ,86,4.8,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Your lie in April,https://www.crunchyroll.com/your-lie-in-april ,22,4.85,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Is It Wrong to Try to Pick Up Girls in a Dungeon?,https://www.crunchyroll.com/is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon ,26,4.62,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
DARLING in the FRANXX,https://www.crunchyroll.com/darling-in-the-franxx ,50,4.34,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
BORUTO: NARUTO NEXT GENERATIONS,https://www.crunchyroll.com/boruto-naruto-next-generations ,148,3.21,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Food Wars! Shokugeki no Soma,https://www.crunchyroll.com/food-wars-shokugeki-no-soma ,74,4.77,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Demon Slayer: Kimetsu no Yaiba,https://www.crunchyroll.com/demon-slayer-kimetsu-no-yaiba ,26,4.87,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GOBLIN SLAYER,https://www.crunchyroll.com/goblin-slayer ,13,4.48,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ERASED,https://www.crunchyroll.com/erased ,13,4.86,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Puella Magi Madoka Magica,https://www.crunchyroll.com/puella-magi-madoka-magica ,12,4.82,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
No Game No Life,https://www.crunchyroll.com/no-game-no-life ,12,4.7,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Akame ga Kill!,https://www.crunchyroll.com/akame-ga-kill ,24,4.27,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
That Time I Got Reincarnated as a Slime,https://www.crunchyroll.com/that-time-i-got-reincarnated-as-a-slime ,27,4.65,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Toradora!,https://www.crunchyroll.com/toradora,25,4.82,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ano Natsu de Matteru,https://www.crunchyroll.com/ano-natsu-de-matteru ,12,4.69,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KILL la KILL,https://www.crunchyroll.com/kill-la-kill ,24,4.6,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
The Ancient Magus' Bride,https://www.crunchyroll.com/the-ancient-magus-bride ,54,4.79,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Fairy Tail,https://www.crunchyroll.com/fairy-tail ,153,4.36,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yuri!!! on ICE,https://www.crunchyroll.com/yuri-on-ice ,12,4.83,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kuroko's Basketball,https://www.crunchyroll.com/kurokos-basketball ,82,4.82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Say ""I love you.""",https://www.crunchyroll.com/say-i-love-you ,13,4.57,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Log Horizon,https://www.crunchyroll.com/log-horizon ,50,4.55,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Overlord,https://www.crunchyroll.com/overlord ,39,4.62,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
HAIKYU!!,https://www.crunchyroll.com/haikyu ,75,4.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
My Little Monster,https://www.crunchyroll.com/my-little-monster ,13,4.53,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
